article_id,source,title,url,extracted_at_utc,query,media_cloud_story_count,media_cloud_matched_story_count,media_cloud_unique_hosts,media_cloud_story_ids,status
7b259d32-8d79-4c76-9578-ee04b51fa04f,Palmyra Spectator,Outdoors With Kevin Fox: What Would Your Choices Be?,https://www.palmyra-spectator.com/2025/12/04/outdoors-with-kevin-fox-what-would-your-choices-be,2025-12-05T08:54:52.866540+00:00,"""Outdoors With Kevin Fox: What Would Your Choices Be?""",1,0,,,ok
eb3a5880-eeae-4d7b-8c8b-4059e021c158,Palmyra Spectator,Three Resignations Accepted at Palmyra R-1 Board Special Session,https://www.palmyra-spectator.com/2025/12/04/three-resignations-accepted-at-palmyra-r-1-board-special-session,2025-12-05T07:36:08.574523+00:00,"""Three Resignations Accepted at Palmyra R-1 Board Special Session""",1,0,,,ok
aab005d4-e395-461a-8bf1-85d19a77a939,Perryville Republic Monitor,Man arrested in January 2021 pipe bomb case targeting party headquarters,"https://republicmonitor.com/stories/man-arrested-in-january-2021-pipe-bomb-case-targeting-party-headquarters,161236",2025-12-05T02:49:45.293885+00:00,"""Man arrested in January 2021 pipe bomb case targeting party headquarters""",0,0,,,ok
0a396970-0a58-4a3a-8d1c-430f997d7f23,Perryville Republic Monitor,Jim and Bryant sitting under the River Tree,"https://republicmonitor.com/stories/jim-and-bryant-sitting-under-the-river-tree,161097",2025-12-05T02:46:27.178155+00:00,"""Jim and Bryant sitting under the River Tree""",0,0,,,ok
942d8ea2-8f09-4ee0-8539-693c385d4683,Perryville Republic Monitor,Perryville Republic Monitor,https://republicmonitor.com/calendar/day/when/2025-12-07,2025-12-05T02:40:39.080948+00:00,"""Perryville Republic Monitor""",0,0,,,ok
07a4c289-47ae-4c0d-9c42-a54117d6eb89,Sikeston Standard Democrat,Strong start lifts Westwood Baptist over Oran in OIT consolation round,https://www.standard-democrat.com/local-sports/strong-start-lifts-westwood-baptist-over-oran-in-oit-consolation-round-c173c200,2025-12-05T15:24:13.985160+00:00,"""Strong start lifts Westwood Baptist over Oran in OIT consolation round""",0,0,,,ok
a1fd0efd-2ede-48bd-b2a6-294124b327d3,Sikeston Standard Democrat,"Kelly takes down SCC, moves on to OIT consolation final",https://www.standard-democrat.com/local-sports/kelly-takes-down-scc-moves-on-to-oit-consolation-final-47f1eca9,2025-12-05T07:27:59.912124+00:00,"""Kelly takes down SCC, moves on to OIT consolation final""",0,0,,,ok
d598705e-97b9-4c41-b13c-421e276c128d,Southeast Missourian,Asian shares are mixed after Wall Street inches closer to its all,https://www.semissourian.com/business/asian-shares-are-mixed-after-wall-street-inches-closer-to-its-all-time-high-498839ea,2025-12-05T08:46:07.443078+00:00,"""Asian shares are mixed after Wall Street inches closer to its all""",11,11,wvnews.com|abcnews.go.com|biztoc.com|independent.co.uk|inquirer.com|halifax.citynews.ca|winnipegfreepress.com|mynorthwest.com,cadbac98ae03d1cc598a7f8cfe6c76c79c6c31bec8cb93f707d54f0fabd849ee|0162fa9db876cbd7f08262f255933bf607b1b870b05b87eb3a389f50acbd2bf6|b6a5ddaf31e49b45ce5c3e29e5509119beae9fa42ea61f47a48b8cbaa1e86896|628301818514b5d8e978309f497561bab27491f448f58df868bb9b19c3d109a9|75c8954cf0234ba6b49507b82f01dfa0234d7a5669222ce803a24a2ef0b320bb|feeebfb2b3a70e092d6a18eb92d7650e0c4b66dc6efb859af8401c5ec1db446a|9d4c153a4e15e884a93b28b42b3c1df82253900a3dd863d6337e0b0132c3770b|fb5e18140d7da274f476835a371380f64fa02014ba29eb6821b2a2accb4d1129|38919d6269c5b57095c8cd3645dc268e14a3d82c2f6e8eb4f44ab171521d7cf2|569e9986f9e94e70114fe077d154db99377ec2d9649be89793841c524abba78c|9e05598de1bd5a2f23dcf70af3171dd2abebbe0287d0a4234f6ad689a618802a,ok
ee6d7bd9-f879-4297-b272-762795d3951e,Southeast Missourian,Willow Springs outlasts Twin Rivers 43,https://www.semissourian.com/sports/willow-springs-outlasts-twin-rivers-43-41-for-the-lady-dawg-classic-championship-1fae9656,2025-12-05T08:44:41.746355+00:00,"""Willow Springs outlasts Twin Rivers 43""",0,0,,,ok
49a1e84e-9222-4375-88ff-bbd464cc1d6a,Southeast Missourian,Poplar Bluff city manager to face DUI charge in Mississippi court Jan....,https://www.semissourian.com/news/poplar-bluff-city-manager-to-face-dui-charge-in-mississippi-court-jan-8-5f74c50c,2025-12-05T02:00:25.055214+00:00,"""Poplar Bluff city manager to face DUI charge in Mississippi court Jan....""",0,0,,,ok
